soon,bientôt,,,,,
sort,sorte,,,,,
soul,âme,,,,,
sound,son,,,,,
south,sud,,,,,
speak,parler,,,,,
speech,discours,,,,,
spirit,esprit,,,,,
spoke,rayon,,,,,
spot,endroit,,,,,
spring,sauter,,,,,
started,commencé,,,,,
state,État,,,,,
states,États,,,,,
stay,rester,,,,,
step,pas,,,,,
steps,pas,,,,,
stone,pierre,,,,,
stopped,arrêté,,,,,
story,histoire,,,,,
strange,étrange,,,,,
street,rue,,,,,
strength,force,,,,,
strong,fort,,,,,
struck,frappé,,,,,
study,étudier,,,,,
subject,matière,,,,,
success,succès,,,,,
sudden,soudain,,,,,
suddenly,soudainement,,,,,
summer,été,,,,,
sun,soleil,,,,,
support,soutenir,,,,,
suppose,supposer,,,,,
supposed,supposé,,,,,
sure,sûr,sûre,,,,
surprise,surprise,,,,,
sweet,doux,,,,,
system,système,,,,,
table,table,,,,,
take,prendre,,,,,
talk,parler,,,,,
tears,larmes,,,,,
tell,dire,,,,,
ten,dix,,,,,
terms,termes,,,,,
terrible,terrible,,,,,
thing,chose,,,,,
things,choses,,,,,
think,penser,,,,,
third,troisième,,,,,
thought,pensé,pensée,,,,
thoughts,pensées,,,,,
thousand,mille,,,,,
three,trois,,,,,
time,temps,,,,,
times,fois,,,,,
together,ensemble,,,,,
told,dit,,,,,
tone,ton,,,,,
touch,toucher,,,,,
town,ville,,,,,
tree,arbre,,,,,
trees,arbres,,,,,
tried,essayé,,,,,
troops,troupes,,,,,
trouble,problème,,,,,
true,vrai,,,,,
trust,confiance,,,,,
truth,vérité,,,,,
try,essayer,,,,,
turn,tour,,,,,
twenty,vingt,,,,,
two,deux,,,,,
understand,comprendre,,,,,
united,uni,unis,,,,
use,utiliser,,,,,
usual,habituel,,,,,
usually,habituellement,,,,,
value,valeur,,,,,
various,divers,,,,,
view,vue,,,,,
village,village,,,,,
visit,visite,,,,,
voice,voix,,,,,
wait,attendre,,,,,
waiting,attente,,,,,
walk,marcher,,,,,
walked,marché,,,,,
wall,mur,,,,,
walls,murs,,,,,
wanted,recherché,,,,,
war,guerre,,,,,
watch,observer,,,,,
water,eau,,,,,
way,chemin,,,,,
ways,chemins,,,,,
week,semaine,,,,,
west,ouest,,,,,
white,blanc,blanche,,,,
wife,femme,épouse,,,,
wild,sauvage,,,,,
William,Guillaume,,,,,
wind,vent,,,,,
window,fenêtre,,,,,
winter,hiver,,,,,
wise,sage,,,,,
wish,souhait,,,,,
wished,souhaité,,,,,
woman,femme,,,,,
women,femmes,,,,,
wonder,merveille,,,,,
wood,bois,,,,,
word,mot,,,,,
words,mots,,,,,
work,travail,,,,,
works,travaux,,,,,
world,monde,,,,,
worth,valeur,,,,,
write,écrire,,,,,
written,écrit,,,,,
wrong,faux,,,,,
year,an,année,,,,
years,ans,années,,,,
York,York,,,,,
young,jeune,,,,,
youth,jeunesse,,,,,
a,un,une,,,,
as,comme,,,,,
well,bien,,,,,
such,tel,,,,,
has,a,,,,,
been,été,,,,,
have,ai,as,avons,avez,ont,avoir
most,plus,,,,,
one,un,une,,,,
s,de,,,,,
are,es,sommes,êtes,sont,,
for,pour,,,,,
at,à,,,,,
per,par,,,,,
is,est,,,,,
by,par,,,,,
be,être,,,,,
on,sur,,,,,
